prod_picture,prod_no,prod_external,cat_code,prodName,prod_price,prod_salesprice,brief_Desc,Other_Desc,Brand_id,Inventory,prod_hot,prod_latest,prod_special,Related,,,,新分類
"LA06190F-1,LA06190F-2",LA06190F,N/A,12125,"Cellular Radiance Emulsion SPF 30
極緻亮顏防護乳SPF30",15770,0,規格：50 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11260,,11260
"LA12823F-1,LA12823F-2",LA12823F,N/A,12125,"Cellular Swiss Ice Crystal Cream
瑞士冰晶細胞新生乳霜",10070,0,規格：50 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11260,,11260
"LA26944F-1,LA26944F-2",LA26944F,N/A,12125,"Skin Caviar Luxe Cream
魚子美顏豐潤霜 (jumbo size)",25060,0,規格：100 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11260,,11260
LE27DC050I13F,LE27DC050I13F,N/A,12125,"IM.CREME DIVINE
蠟菊賦活霜",3780,0,規格：50 ml,L'Occitane 歐舒丹,N/A,2,False,False,False,N/A,,11260,,11260
LA23097F,LA23097F,N/A,12125,"Extrait of Skin Caviar Firming Complex
魚子美顏緊膚霜",5390,0,規格：30 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11260,,11260
LA18874F,LA18874F,N/A,12126,"Skin Caviar Luxe Eye Lift Cream
魚子美眼霜",10430,0,規格：20 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11270,,11270
SY151000F,SY151000F,N/A,12126,"Sisle?a Eye & Lip Contour Cream
抗皺活膚眼唇霜",5020,0,規格：15 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11270,,11270
CN80011881F,CN80011881F,N/A,12126,"Enhancing Eye Lift Serum
V型?抗引力大眼精華",1870,0,規格：15 ml,Clarins克蘭詩,N/A,2,False,False,False,N/A,,11270,,11270
S29006067057F,S29006067057F,N/A,12126,"R.N.A.Power Eye Cream Radical New Age 15g
R.N.A.超肌能「大眼」霜",2780,0,規格：15 g,SK-II,N/A,2,False,False,False,N/A,,11270,,11270
S29006033359F,S29006033359F,N/A,12126,"Signs Eye Mask
全效活膚眼膜",2150,0,規格：14對,SK-II,N/A,2,False,False,False,N/A,,11270,,11270
SY151600F,SY151600F,N/A,12126,"Eye & Lip Contour Balm
眼唇凝露",3490,0,規格：30 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11270,,11270
"LA15377F-1,LA15377F-2",LA15377F,N/A,12126,"Cellular Eye Cream Platinum Rare
鉑金眼霜",12730,0,規格：20 ml,la prairie莱珀妮,N/A,2,False,False,True,N/A,,11270,,11270
"LA26881F-1,LA26881F-2",LA26881F,N/A,12126,"Cellular Radiance Eye Cream
極緻亮顏眼霜",11000,0,規格：15 ml,la prairie莱珀妮,N/A,2,False,False,True,N/A,,11270,,11270
LE7BY015I11AF,LE7BY015I11AF,N/A,12126,"PRECIOUS EYE BALM
蠟菊精華眼霜",1380,0,規格：15 ml,L'Occitane 歐舒丹,N/A,2,False,False,False,N/A,,11270,,11270
LA15297F,LA15297F,N/A,12126,"White Caviar Illuminating Eye Cream
鑽白魚子緊膚亮顏眼霜",8450,0,規格：15 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11270,,11270
"LA12804F-1,LA12804F-2",LA12804F,N/A,12126,"Cellular Eye Essence Platinum Rare
鉑金肽完美眼部精華",12730,0,規格：15 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11270,,11270
LA24272F,LA24272F,N/A,12126,"Essence of Skin Caviar Eye Complex with Caviar Extracts
魚子美顏眼露",4640,0,規格：15 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11270,,11270
"LA11960F-1,LA11960F-2",LA11960F,N/A,12127,"Skin Caviar Luxe Sleep Mask
魚子美顏晚安面膜",10570,0,規格：50 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11280,,11280
712818491180P-1,712818491180P,N/A,12127,Taiwan Yes特潤玻尿酸24hrs面膜3盒裝,750,0,規格：6片 × 3盒,台灣海洋深層水股份有限公司,N/A,2,False,False,False,N/A,,11280,,11280
713955162278P-1,713955162278P,N/A,12127,DMC欣蘭 黑裡透白凍膜,760,0,規格：335 g,DMC,N/A,2,False,False,False,N/A,,11280,,11280
CN80011853F,CN80011853F,N/A,12127,"V-Facial Intensive Wrap
V型?抗引力面膜",1700,0,規格：75 ml,Clarins克蘭詩,N/A,2,False,False,False,N/A,,11280,,11280
